timeRegistered,applicationId,mobileDeviceType,mobileModel
2014/12/04 14:31:41 UTC,com.linkedin.android,android,motorola_XT1033
2014/04/16 07:03:10 UTC,com.linkedin.LinkedIn,iphone,iphone3_1
